Filename,Category,Status,Type,Imported_By,DB_Tables_Written,Safe_To_Archive,Notes
ai_query.py,ACTIVE,Production,Entry Point,None,None,NO,Natural language query interface
analyze_orb_v2.py,ACTIVE,Production,Library+Entry,app_trading_hub.py,None (read-only),NO,V2 zero-lookahead analyzer
app_edge_research.py,ACTIVE,Production,Entry Point (Streamlit),None,None (read-only),NO,Edge research dashboard
app_trading_hub.py,ACTIVE,Production,Entry Point (Streamlit),None,None (read-only),NO,Main trading dashboard with AI
backfill_databento_continuous.py,ACTIVE,Production,Entry Point,daily_update.py,bars_1m+bars_5m,NO,Primary MGC backfill (Databento)
backfill_databento_continuous_mpl.py,ACTIVE,Production,Entry Point,None,bars_1m_mpl+bars_5m_mpl,NO,MPL backfill (Databento)
backfill_range.py,ACTIVE,Production,Entry Point,None,bars_1m+bars_5m,NO,Alternative backfill (ProjectX API)
backtest_orb_exec_1m.py,DEPRECATED,Has Exit Guard,Entry Point,None,None (exits immediately),YES,Superseded by build_daily_features_v2.py
backtest_orb_exec_5m.py,DEPRECATED,Has Exit Guard,Entry Point,None,None (exits immediately),YES,Superseded by build_daily_features_v2.py
backtest_orb_exec_5mhalfsl.py,DEPRECATED,Has Exit Guard,Entry Point,None,None (exits immediately),YES,Superseded by build_daily_features_v2.py
build_5m.py,ACTIVE,Production,Entry Point,Backfill scripts,bars_5m,NO,Aggregate 5-minute bars from 1-minute
build_daily_features.py,ACTIVE,Legacy Reference,Entry Point,Backfill scripts,daily_features,NO,V1 legacy (has lookahead bias) - kept for comparison
build_daily_features_v2.py,ACTIVE,Production PRIMARY,Entry Point,daily_update.py,daily_features_v2,NO,V2 zero-lookahead feature builder (PRODUCTION)
check_db.py,ACTIVE,Production,Utility,None,None (read-only),NO,Inspect database contents
check_dbn_symbols.py,ACTIVE,Production,Utility,None,None (read-only),NO,Check symbols in DBN files
daily_alerts.py,ACTIVE,Production,Entry Point,daily_update.py,None (read-only),NO,Generate high-probability setup alerts
daily_update.py,ACTIVE,Production PRIMARY,Entry Point,None,None (orchestrator),NO,Morning routine - main workflow entry
execution_engine.py,ORPHANED,Needs Review,Library,_archive files only,None,REVIEW,Not imported by active code - decision needed
export_csv.py,ACTIVE,Production,Entry Point,None,None (exports only),NO,Export data to CSV files
export_v2_edges.py,ACTIVE,Production,Entry Point,None,None (exports only),NO,Export V2 validated edges
init_db.py,ACTIVE,Production,Utility,None,Schema creation,NO,Initialize database schema
inspect_dbn.py,ACTIVE,Production,Utility,None,None (reads DBN files),NO,Inspect DBN files for debugging
journal.py,ACTIVE,Production,Entry Point,None,trades (SQLite separate DB),NO,Trading journal / trade tracking
query_engine.py,ACTIVE,Production CORE,Library,2 Streamlit apps,None (read-only),NO,Query interface for dashboards
query_features.py,ACTIVE,Production,Entry Point,None,None (read-only),NO,Feature query tool
realtime_signals.py,ACTIVE,Production,Entry Point,None,None (read-only),NO,Real-time trading signals
run_complete_audit.py,ACTIVE,Production,Entry Point,None,None (read-only audit),NO,Automated audit script
start_ngrok.py,ACTIVE,Production,Utility,None,None (network utility),NO,Start ngrok tunnel for remote access
validate_data.py,ACTIVE,Production,Entry Point,None,None (read-only validation),NO,Data validation system
validated_strategies.py,ACTIVE,Production,Library,app_trading_hub.py,None (constants),NO,Strategy definitions and constants
wipe_mgc.py,ACTIVE,Production,Utility,None,DELETE bars_1m+bars_5m+daily_features,NO,Wipe MGC data (dangerous but needed)
wipe_mpl.py,ACTIVE,Production,Utility,None,DELETE bars_1m_mpl+bars_5m_mpl+daily_features_v2_mpl,NO,Wipe MPL data (dangerous but needed)
scripts/audit_nq_data_integrity.py,ACTIVE,Production,Entry Point,None,None (read-only),NO,NQ data validation
scripts/backtest_baseline.py,ACTIVE,Production,Entry Point,None,None (read-only),NO,Baseline backtest (MGC/NQ comparison)
scripts/build_daily_features_mpl.py,ACTIVE,Production,Entry Point,None,daily_features_v2_mpl,NO,MPL feature builder
scripts/build_daily_features_nq.py,ACTIVE,Production,Entry Point,None,daily_features_v2_nq,NO,NQ feature builder
scripts/ingest_databento_dbn_mpl.py,ACTIVE,Production,Entry Point,None,bars_1m_mpl+bars_5m_mpl,NO,MPL DBN ingestion
scripts/ingest_databento_dbn_nq.py,ACTIVE,Production,Entry Point,None,bars_1m_nq+bars_5m_nq,NO,NQ DBN ingestion
scripts/optimize_rr.py,ACTIVE,Production,Entry Point,None,None (analysis),NO,RR optimization research
scripts/research_1800_any_edges.py,ACTIVE,Production,Entry Point,None,None (research),NO,1800 ORB edge research
scripts/research_nq_massive_moves.py,ACTIVE,Production,Entry Point,None,None (research),NO,NQ massive move research
scripts/research_nq_session_dependencies.py,ACTIVE,Production,Entry Point,None,None (research),NO,NQ session dependency analysis
scripts/test_filters.py,ACTIVE,Production,Entry Point,None,None (testing),NO,Filter testing utility
_unused_migrate_orbs.sql,ORPHANED,Unused,SQL Migration,None,None,YES,Unused migration script
schema.sql,ACTIVE,Production,SQL Schema,init_db.py,All tables,NO,Main database schema
migrate_schema_v2.sql,ACTIVE,Historical Reference,SQL Migration,None (completed),None,NO,V2 migration (historical record)
verify_schema_v2.sql,ACTIVE,Production,SQL Utility,None,None (verification),NO,V2 schema verification queries
